card_id,cluster_id
C_ID_a571a8d216,0
C_ID_cfe8159b22,5
C_ID_910ccf40e8,3
C_ID_b149a57ea2,3
C_ID_497aca16d0,1
C_ID_d2f0cd45f2,3
C_ID_934f91e091,1
C_ID_0c04812a58,0
C_ID_276dcb9d20,3
C_ID_8066b0bad2,0
C_ID_b94173642c,0
C_ID_34b4c556d6,0
C_ID_84b4e8aa29,0
C_ID_05ce8e8513,1
C_ID_57c2bd80cc,0
C_ID_a5371b0356,0
C_ID_0055fe7cd7,0
C_ID_abff8799d2,0
C_ID_75f0c852ea,0
C_ID_a8839baadb,0
C_ID_3c1a040a74,1
C_ID_a5802ec51b,3
C_ID_d4201cc75e,3
C_ID_c27c1b6b62,3
C_ID_23a27eafab,0
C_ID_7a26d98212,0
C_ID_23a722b759,5
C_ID_6c6cf2e83c,0
C_ID_2220f1bb5e,3
C_ID_17c92f4b1e,3
C_ID_7a176a567e,0
C_ID_64f8327986,2
C_ID_2d32131e83,0
C_ID_d2cd2e23dd,0
C_ID_5518b50023,0
C_ID_2b3f10caeb,0
C_ID_5d1b7fdcce,0
C_ID_d9e1adda8b,0
C_ID_2759d21f79,3
C_ID_14b41d2891,3
C_ID_ee160dc81a,3
C_ID_c4940c91b9,0
C_ID_811e38ac1c,3
C_ID_56daa3460e,0
C_ID_f12b70761f,3
C_ID_0faa367eae,1
C_ID_fb78d67638,0
C_ID_799f56cfb4,5
C_ID_a24ff4a819,3
C_ID_c35da70d56,2
C_ID_82b484685f,5
C_ID_3b9ec6c8c3,0
C_ID_4545134bbc,3
C_ID_1eaa7bce72,3
C_ID_9264b8f33f,0
C_ID_d1210b0bcd,5
C_ID_08884d6518,5
C_ID_e51df352de,0
C_ID_529b3bf9b8,0
C_ID_ad9d48382a,0
C_ID_9ab57bb528,1
C_ID_bed31aabc0,0
C_ID_2d4ada7605,0
C_ID_4742cf76b8,1
C_ID_1f019654fe,3
C_ID_175788e4b8,5
C_ID_b38af06b63,1
C_ID_2dcf23e55d,0
C_ID_8f68f28724,1
C_ID_e1de015a61,5
C_ID_35fb2654e2,1
C_ID_5792758c47,2
C_ID_47d0df4c22,3
C_ID_9d6075a3c7,4
C_ID_1f28bac726,1
C_ID_b734d8231a,4
C_ID_130d55e0eb,1
C_ID_7977a0a1e3,1
C_ID_c550b7be1c,1
C_ID_8d2f876fdd,0
C_ID_303be16ddf,1
C_ID_1b862c73af,0
C_ID_1e0005b9b4,1
C_ID_5cda6e49fa,1
C_ID_e84757a3b3,1
C_ID_12eb1f9100,0
C_ID_da1ba9cb32,3
C_ID_882041a6e5,0
C_ID_ee9dc20d9d,5
C_ID_738b7901ee,0
C_ID_8edc6db870,0
C_ID_98f1bfdc96,5
C_ID_2325908a28,0
C_ID_0e794e0095,1
C_ID_bc5016cb4a,3
C_ID_1041246c8e,3
C_ID_b89a66e50c,3
C_ID_f8cdb789b4,3
C_ID_748e1de826,3
C_ID_e3037daa35,3
C_ID_a4c6054955,0
C_ID_524abeb6b9,3
C_ID_6fff711b28,0
C_ID_641529a5c9,3
C_ID_495b4c8a46,3
C_ID_417847d4fa,0
C_ID_e7b5230b05,0
C_ID_751bcff6b7,0
C_ID_5e5c5f3cb4,3
C_ID_792a02050d,2
C_ID_d2cb95167e,5
C_ID_37b30fe4f9,4
C_ID_dce9c664e7,0
C_ID_1fd8c3e62b,5
C_ID_bdc4f53ea8,5
C_ID_7dc7df99de,3
C_ID_770ffb3714,3
C_ID_857619b118,5
C_ID_5a3b890a43,1
C_ID_1597bc4df1,3
C_ID_927f0edf66,5
C_ID_9fa3726125,0
C_ID_2ca97c3a0a,0
C_ID_f5edd12e36,0
C_ID_0df8411218,0
C_ID_6b82ac3667,0
C_ID_b645ff9221,0
C_ID_f3c0b66a22,0
C_ID_9b6021f3a4,3
C_ID_c561cd0c68,1
C_ID_e6f7c28e4c,3
C_ID_708ad6920a,1
C_ID_8636aa5b22,3
C_ID_cfe5032113,0
C_ID_4e520659dd,5
C_ID_740b57715b,2
C_ID_f5fddd1f4b,3
C_ID_d691677fcb,3
C_ID_e26a374c3f,5
C_ID_2348c2c85b,0
C_ID_41a39d7245,5
C_ID_9c2f61938d,0
C_ID_09348e6a56,3
C_ID_2e9dd7a3d1,3
C_ID_0d73671693,0
C_ID_3fadaebf61,3
C_ID_72717a97d8,3
C_ID_2904b6b5e4,5
C_ID_6e98fa2368,1
C_ID_6c8c6832f4,0
C_ID_efc53f76b0,5
C_ID_c87cea6334,0
C_ID_fcf8b646b2,3
C_ID_636130bb2c,3
C_ID_a146507be7,5
C_ID_c003996416,3
C_ID_1f45693447,1
C_ID_e4c0e64ae9,0
C_ID_f80c293fb2,2
C_ID_5cf34460a5,5
C_ID_c3b8522a4a,0
C_ID_44c42a1e48,0
C_ID_e067b15963,0
C_ID_759301a424,3
C_ID_6f1f3f1199,0
C_ID_8628355701,5
C_ID_711524eff1,0
C_ID_6f2662e36e,0
C_ID_69528c1be0,3
C_ID_0b13b1bc15,5
C_ID_8642004991,4
C_ID_b85d349e1a,0
C_ID_a266b33961,0
C_ID_21aecc0e75,3
C_ID_992c9b05df,2
C_ID_f67fb38321,5
C_ID_30205e02fc,4
C_ID_1afc78c8ff,1
C_ID_fb952ebc87,5
C_ID_7471bf7d27,5
C_ID_c8b16a8c6b,3
C_ID_3b49c46a91,3
C_ID_49ef4abca5,3
C_ID_61898b8162,3
C_ID_7fce66de72,0
C_ID_d5af537e6b,1
C_ID_5e80a27b7a,0
C_ID_f4432c434e,5
C_ID_e827fd2a13,0
C_ID_861a9a5e56,5
C_ID_fe071406c4,5
C_ID_83bababd07,1
C_ID_290c5d9972,5
C_ID_ba293cefca,0
C_ID_48e89d023d,5
C_ID_2ae1ceb3e5,5
C_ID_0f8d9bdbba,0
C_ID_30b6c37c64,0
C_ID_710f439e09,1
C_ID_400da31055,0
C_ID_4ec490cea4,3
C_ID_aa6e5bd039,0
C_ID_ca93845187,3
C_ID_48dcd69c2e,3
C_ID_e01e3476e8,0
C_ID_d1dd8f2221,5
C_ID_f36c29eb41,3
C_ID_26a110ba04,5
C_ID_e415d660a9,0
C_ID_2d3c93fc76,1
C_ID_0ca9023406,0
C_ID_2dc684e966,4
C_ID_64dfe415d6,3
C_ID_86fe1a69f3,5
C_ID_9177757f9a,0
C_ID_d84e74513d,5
C_ID_2af8b16a6b,3
C_ID_19dad9c1ff,3
C_ID_81d19061d5,1
C_ID_174c3bc108,5
C_ID_33ca7be4bd,0
C_ID_67aaded936,0
C_ID_3b965baea9,3
C_ID_c192008cf2,0
C_ID_687877c3f2,5
C_ID_fad6c41825,3
C_ID_b217048516,1
C_ID_b785d9aa3e,0
C_ID_f9d5bde7e0,0
C_ID_524d672120,0
C_ID_ec238a9e2e,0
C_ID_b540f02980,0
C_ID_518d79d23c,0
C_ID_22ea2b94d8,1
C_ID_9bd9120b8c,1
C_ID_3e2c6d0bcd,0
C_ID_d60c749293,3
C_ID_2d64e0bd62,0
C_ID_e05546dbb9,5
C_ID_a989d7690c,0
C_ID_84b5083741,0
C_ID_bb35ed78a8,3
C_ID_35fa84bf8d,5
C_ID_1ebcbae392,0
C_ID_79ef1dc5f1,1
C_ID_81e30c409f,5
C_ID_515912b042,0
C_ID_f9c0cf04e4,0
C_ID_0d7de622fc,5
C_ID_2749e3e016,1
C_ID_aafd7f82d0,5
C_ID_dc92e609e7,1
C_ID_f4410e8d80,0
C_ID_18146cc298,3
C_ID_35f1a47875,1
C_ID_def636844c,3
C_ID_f8f43431d5,5
C_ID_6615d2a472,0
C_ID_1fdf9137ba,0
C_ID_5e6821b512,3
C_ID_df010018fa,0
C_ID_df08497395,0
C_ID_6cbf3d12d9,1
C_ID_13320849b6,0
C_ID_e179132dcf,3
C_ID_578789eb22,1
C_ID_df0d32f555,0
C_ID_f2b42a78ff,5
C_ID_6d54704885,0
C_ID_208e543b08,3
C_ID_4746bfad4a,3
C_ID_46d3ab737b,0
C_ID_45c2d7a0ef,3
C_ID_dcc25a1ae6,1
C_ID_97835b0b35,0
C_ID_78b7ac3357,0
C_ID_2507eeff67,3
C_ID_6e800f89f3,3
C_ID_696af6b384,3
C_ID_3f611480bd,0
C_ID_b4ef91bfd3,3
C_ID_60a086985f,3
C_ID_0d49fb1194,3
C_ID_5ffd8bdd32,0
C_ID_947b254a8c,0
C_ID_e258c5c2b3,5
C_ID_d5391c34f6,3
C_ID_5047e1674c,0
C_ID_29fa5cb576,0
C_ID_44e3726770,0
C_ID_d270df29ea,3
C_ID_a817ad1622,3
C_ID_e9cb6612f0,5
